Score,Text
5,I never in my life tasted such a good babka its crazy good! This is the real babka! That my gram mother use to make
4,"I am so convinced these are human animal crackers. They look and taste EXACTLY like human ones (yes, I tasted it) and they contain sugar, which is not one of the last ingredients in the nutrition facts either. So ill just give my dog very small amounts."
5,I have a whole box of peanut butter dog cookies and she wont touch them. She loves these and begs for them so it was a good buy. She is a little chihuhua and they are not too big for her mouth. About 20 per box.
3,"These little animal crackers taste good & my doggies like them, but I won't be buying again. They are like the human animal crackers & have flour & sugar & other bad stuff for dogs. I will continue to buy the healthy treats for my doggies which they also love without sugar. You might want to try Wellness, Blue Buffalo, Natural Balance, Zukes, just to name a few."
5,My chihuahua loves these lil snacks. When she sees me bring out the yellow bus she literally runs in circles!
5,I purchased these little treats as stocking stuffers for our little furry friends.  Both Yorkies LOVED these treats.  We had to finally buy more since they liked them so much.
5,These are just like the animal crackers we eat.  The price is great and my little guy loves them!
3,The smell at first was just like a bed of fresh roses. Even though the rose content is very minimal I found the smell overwhelming. I did not like that this brand of spices does not have a seal in place and only a loosely screwed on lid. There is no shaker lid either. You open it and it dumps. I am questioning how only a few minute pieces of roses could produce such a perfume odor. I hope it is not chemically enhanced. With the lid being loose and not sealed I have doubts about the safety of the product.
3,"I was hoping these were more true caramels, not caramel-flavored truffles, but they're still delicious. Would definitely order them again, and maybe extra for gifts. The salt just makes them extra amazing.<br /><br />Bummer about the shipping-- shipping on this item is reasonable, but we bought the chocolate covered pretzels at the same time, and shipping was charged for both items even though they arrived in the same box. There wasn't even anything fancy about the packaging!<br /><br />edit: okay, these actually bother my stomach a little after one truffle. the package wasn't shipped with an ingredients list, and i had to go to the company site directly and find a well-hidden and hard to follow ingredients page to discover there's a lot of shady ingredients, including high fructose corn syrup. For $40 a box, I expect NO CORN SYRUP. I also don't expect propylene glycol (antifreeze) in vanilla, which I expect to be 100% vanilla beans, and NOT artificial vanillin (which sometimes comes from the anal glands of beavers). I'm disappointed in the ingredient quality.<br /><br />http://www.premiumchocolatiers.com/ingredient_info.php<br /><br />Review goes from 5 stars to 3. I'd make it 2, but the extra star is because they ARE quite delicious."
2,Ive been craving some deer jerky for a while so i gave this one and some others on amazon a try. This one was very sinue and a little too sweet for my taste. Not going to buy again. Im still on my search for the salty dry version im after
5,"I tried this and I found it too salty.<br />Plus I ate this fish sauce with some fish but I realized it was kind of redundant.<br /><br />I'm kidding, of course. This stuff is great!"
5,I don't usually drink tea but I love this one. I thought the shipping price was a little high but love the tea so much that I had to get it. Perfect with a little bit of Honey.
1,The noodles in the box were all broken.  The sauce was over salted and did not have a good flavor.  I threw out most of the skillet.  I would recommend not purchasing this product.
5,"Cavenders makes the best vinegar and oil dressing ever. couple of tbls of cavenders and 1/4 vinager and 1/4 h2O, rest oil. good!"
